id,task_type,source,regulation,context,question,answer,answer_type,difficulty
TMP_030,TMP,RBI,,"List of circulars superseded: (1) FMRD.FMID No.14/11.01.007/2016-17 dated June 01, 2017; (2) dated November 29, 2018; (3) dated April 26, 2019; (4) dated March 27, 2020; (5) dated February 18, 2026. The Master Direction was issued March 27, 2026.","How many years elapsed between the issuance of the first LEI circular (June 01, 2017) and its supersession by the Master Direction on Unique Identifiers (March 27, 2026)?","Approximately 8 years and 10 months elapsed between June 1, 2017 and March 27, 2026.",calculated,Medium
TMP_031,TMP,SEBI,,"buy-back from the open market through stock exchanges, based on the standalone or consolidated financial statements of the company, whichever sets out a lower amount, shall be less than: (i) fifteen per cent of the paid up capital and free reserves of the company till March 31, 2023; (ii) ten per cent of the paid up capital and free reserves of the company till March 31, 2024; (iii) five per cent of the paid up capital and free reserves of the company till March 31, 2025. Provided further that buy-back from the open market through the stock exchange shall not be allowed with effect from April 1, 2025.","Describe the step-by-step reduction in the maximum open-market buy-back limit through stock exchanges under SEBI Regulations, from 2023 to the final prohibition.","15% (until March 31, 2023) → 10% (until March 31, 2024) → 5% (until March 31, 2025) → Complete prohibition from April 1, 2025.",extractive,Medium
TMP_032,TMP,RBI,,"Annex III — List of circulars repealed: DOR.ACC.REC.118/21-02-067/2025-26, dated November 28, 2025 — Reserve Bank of India (Small Finance Banks - Prudential Norms on Declaration of Dividends) Directions, 2025.

These Directions shall be called the Reserve Bank of India (Small Finance Banks - Prudential Norms on Declaration of Dividend) Directions, 2026. These Directions shall come into effect from Financial Year (FY) 2026-27.",Which set of RBI directions on Small Finance Bank dividend norms was in effect during FY 2025-26 — the 2025 Directions or the 2026 Directions?,"The 2025 Directions (issued November 28, 2025) were in effect during FY 2025-26. The 2026 Directions come into effect only from FY 2026-27 (i.e., from April 1, 2026).",extractive,Medium
TMP_033,TMP,RBI,,"Government of India (GoI) has announced the sale of two dated securities. GoI specific Notification: F.No.4(1)-B(W&M)/2026 dated March 28, 2026. Auction Date: April 02, 2026 (Thursday). Settlement Date: April 06, 2026 (Monday). When Issued trading period: March 30, 2026 - April 02, 2026.","In chronological order, what are the key dates in the lifecycle of the GoI dated securities auction announced on March 28, 2026?","March 28 (announcement), March 30 – April 02 ('When Issued' trading period), April 02 (auction day, bids submitted), April 06 (settlement, payment by successful bidders).",extractive,Medium
TMP_034,TMP,RBI,,"Press Release dated March 21, 2026 — Auction of State Government Securities (Revised). The auction will be conducted on the Reserve Bank of India Core Banking Solution (E-Kuber) system on March 24, 2026 (Tuesday). Payment by successful bidders will be made during banking hours on March 25, 2026 (Wednesday).","For the State Government securities auction covered in this revised press release, what is the sequence of key events from the announcement to settlement?","March 21, 2026 (revised press release issued) → March 24, 2026 (auction conducted on E-Kuber) → March 25, 2026 (payment by successful bidders).",extractive,Easy
TMP_035,TMP,SEBI,,"Where a certificate has been granted to an intermediary on a permanent basis, the certificate may continue to be valid under these regulations subject to the condition that the intermediary shall, within two years of commencement of these regulations in relation to such intermediary, furnish the information in Form A to the Board and upload the information in Part I thereof on the website specified by the Board: Provided that the time specified in clause (b) may be extended by the Board up to a period of six months on sufficient reasons being shown by the intermediary.","Under SEBI (Intermediaries) Regulations 2008, an intermediary holding a permanent certificate at the time of commencement of these regulations must furnish Form A information within two years. What is the maximum total time available if SEBI grants an extension?","Two years plus up to six months extension, for a maximum of two and a half years from the commencement of these regulations.",extractive,Medium
TMP_036,TMP,SEBI,,"These regulations may be called the Securities and Exchange Board of India (Research Analysts) Regulations, 2014. These regulations shall come into force on the ninetieth day from the date of their publication in the Official Gazette. The regulations were published on September 1, 2014.","The SEBI (Research Analysts) Regulations 2014 were published on September 1, 2014. On approximately which date did they come into force?","On the ninetieth day from September 1, 2014, which is approximately November 30, 2014.",calculated,Medium
TMP_037,TMP,RBI,,"Calendar for Issuance of Government of India Dated Securities (April 01, 2026 to September 30, 2026). Auction Week 4 (April 20-24, 2026): ₹32,000 crore — (i) 3 Year for ₹11,000 crore (ii) 7 Year for ₹11,000 crore (iii) 30 Year for ₹5,000 crore (iv) 30 Year SGrB for ₹5,000 crore. Switch auctions will be conducted on the third Monday of every month.","In the GoI securities issuance calendar for H1 FY2026-27, which is the first auction week that includes Sovereign Green Bonds (SGrBs), and what amount is allocated for them?","Auction Week 4 (April 20-24, 2026) is the first week to include Sovereign Green Bonds, with ₹5,000 crore allocated for the 30-year SGrB.",extractive,Medium
TMP_038,TMP,RBI,,"These Directions shall be called the Reserve Bank of India (Small Finance Banks - Prudential Norms on Declaration of Dividend) Directions, 2026. These Directions shall come into effect from Financial Year (FY) 2026-27.

Annex III: Circular repealed — DOR.ACC.REC.118/21-02-067/2025-26 dated November 28, 2025.","The RBI SFB Dividend Directions 2026 were issued on March 10, 2026 but take effect from FY 2026-27. Were the 2025 Directions (repealed circular dated November 28, 2025) issued before or after the 2026 Directions were issued?","The 2025 Directions were issued before the 2026 Directions — on November 28, 2025, compared to March 10, 2026 for the 2026 Directions.",extractive,Easy
TMP_039,TMP,RBI,,"UTI shall be generated / reported for all transactions in OTC derivatives market undertaken in terms of the Governing Directions. The directions shall be applicable to OTC derivative transactions entered into on or after the date the directions come into effect. Section B on UTI shall come into effect from January 01, 2027.","A counterparty entered into an OTC derivative transaction on December 15, 2026. Is this transaction subject to the UTI reporting requirements under the RBI Master Direction on Unique Identifiers 2026?","No. The UTI requirements (Section B) come into effect from January 01, 2027, and apply only to transactions entered into on or after that date. A transaction on December 15, 2026 is not subject to UTI reporting.",extractive,Hard
TMP_040,TMP,SEBI,,"Where the certificate was granted for a specified period, an application for grant of certificate under sub-regulation (1) shall be made by the intermediary at least three months prior to the expiry of such period or three months prior to expiry of two years from the commencement of these regulations in relation to such intermediary, whichever is earlier and if the intermediary fails to do so, it shall cease to act as an intermediary on and from the expiry of the aforementioned period.","An intermediary's time-limited certificate expires in 18 months from the commencement of the SEBI (Intermediaries) Regulations 2008. Under this provision, when is the earliest date by which it must apply for renewal?","The intermediary must apply at least three months before the earlier of: (a) expiry of the certificate (15 months from commencement), or (b) three months before two years from commencement (21 months). Since the certificate expires at 18 months, three months before that is 15 months from commencement — which is earlier than 21 months. So it must apply by 15 months from commencement.",extractive,Hard
TMP_041,TMP,RBI,,"The Security Council Committee pursuant to resolutions 1267 (1999), 1989 (2011) and 2253 (2015) concerning ISIL (Da'esh), Al Qaida and associated individuals...removed the entry below from the ISIL (Da'esh) and Al Qaida Sanctions List. The entity Al-Nusrah Front was Listed on: 14 May 2014 (amended on 7 Jun. 2017, 5 Jun. 2018, 15 Nov. 2021). The UNSC press release SC/16306 was dated February 27, 2026.","For how long was the Al-Nusrah Front listed on the ISIL (Da'esh) and Al-Qaida Sanctions List before it was removed per the UNSC press release of February 27, 2026?","Approximately 11 years and 9 months — from May 14, 2014 to February 27, 2026.",calculated,Medium
TMP_042,TMP,RBI,,"Reserve Bank of India will also be conducting switches of dated securities through auction on the third Monday of every month or at more frequent intervals. In case the third Monday is a holiday, switch auction will be conducted on the fourth Monday of the month.","Under the RBI GoI issuance calendar for H1 FY2026-27, if the third Monday of a month is a public holiday, on which day is the switch auction conducted instead?",On the fourth Monday of that month.,extractive,Easy
TMP_043,TMP,RBI,,"For transactions that are reportable in India and in a foreign jurisdiction and the foreign jurisdiction has a sooner reporting timeline, market participants may undertake reasonable efforts to ensure that the UTI is obtained and reported within the reporting deadline for the transaction. In case the market participant is unable to obtain the UTI within the reporting deadline, the market participant may obtain and submit the UTI to CCIL-TR at the earliest thereafter, but in any case, within five Mumbai business days from the date of the transaction.","Under the RBI Master Direction on UTI 2026, if a market participant cannot obtain the UTI in time for a cross-border transaction, what is the maximum additional time allowed to submit the UTI to CCIL-TR?",Within five Mumbai business days from the date of the transaction.,extractive,Easy
TMP_044,TMP,SEBI,,"A company shall not make any offer of buy-back within a period of one year reckoned from the date of expiry of buyback period of the preceding offer of buy-back, if any. The buy-back period means the period between the date of board of directors resolution or date of declaration of results of the postal ballot for special resolution, as the case may be, to authorize buyback of shares and the date on which payment of consideration to shareholders who have accepted the buyback offer is made.","A company completed its buy-back (i.e., made the final payment to shareholders) on June 15, 2025. What is the earliest date on which it can launch its next buy-back offer?","June 15, 2026 — one year from the expiry date (June 15, 2025) of the buyback period of the preceding offer.",calculated,Medium
TMP_045,TMP,RBI,,"Illustration 3: Net profit (PAT) for FY 20X1-X2 (A): ₹1,500 crore. Interim dividend paid for FY 20X1-20X2 (H): ₹500 crore. Maximum Eligible Dividend (G): ₹1,125 crore. As the bank has already paid interim dividend of ₹500 crore, the final dividend shall not be more than (G) - (H).","In Illustration 3 of the RBI SFB Dividend Directions 2026, the bank paid interim dividend during FY 20X1-X2 before declaring the final dividend. What does this sequencing imply about when the Maximum Eligible Dividend constraint applies — at the time of the interim dividend, or cumulatively across both payments?","The constraint applies cumulatively across both payments. The Maximum Eligible Dividend (₹1,125 crore) is the total permitted across the full financial year. Since ₹500 crore has already been paid as interim dividend, the final dividend is capped at the remaining ₹625 crore (₹1,125 - ₹500).",extractive,Hard
REG_054,REG,SEBI,"SEBI (Infrastructure Investment Trusts) Regulations, 2014",The trustee shall ensure that the investment manager convenes meetings of unit holders not less than once every year and the period between such meetings shall not exceed fifteen months.,"Under SEBI (Infrastructure Investment Trusts) Regulations 2014, what is the maximum permissible interval between two consecutive unit holders meetings?",Fifteen months,extractive,Easy
REG_055,REG,SEBI,"SEBI (Infrastructure Investment Trusts) Regulations, 2014","The trustee shall oversee activities of the investment manager in the interest of the unit holders, ensure that the investment manager complies with regulation 10 and shall obtain compliance certificate from the investment manager, in the form as may be specified, on a quarterly basis.","Under SEBI (InvIT) Regulations 2014, how frequently must the trustee obtain a compliance certificate from the investment manager?",On a quarterly basis,extractive,Easy
REG_056,REG,SEBI,"SEBI (Infrastructure Investment Trusts) Regulations, 2014",The decision of the Board to reject the application shall be communicated to the applicant within thirty days of such decision.,"Under SEBI (InvIT) Regulations 2014, within how many days must SEBI communicate a decision to reject an application for a certificate of registration to the applicant?",Within thirty days,extractive,Easy
REG_057,REG,SEBI,"SEBI (Infrastructure Investment Trusts) Regulations, 2014","""holdco"" or ""holding company"" means a company or LLP, â€” (i) in which InvIT holds or proposes to hold controlling interest and not less than fifty one per cent of the equity share capital or interest and which in turn has made investments in other SPV(s), which ultimately hold the infrastructure assets; (ii) which is not engaged in any other activity other than holding of the underlying SPV(s), holding of infrastructure projects and any other activities pertaining to and incidental to such holdings.","Under SEBI (InvIT) Regulations 2014, what minimum equity interest must an InvIT hold or propose to hold in a holding company (holdco) for it to qualify as such?",Not less than fifty one per cent of the equity share capital or interest,extractive,Easy
REG_058,REG,SEBI,"SEBI (Infrastructure Investment Trusts) Regulations, 2014","""SPV"" or ""special purpose vehicle"" means any company or LLP â€” a. in which either the InvIT or the holdco holds or proposes to hold controlling interest and not less than fifty one per cent of the equity share capital or interest... b. which holds not less than ninety per cent of its assets directly in infrastructure projects and does not invest in other SPVs.","Under SEBI (InvIT) Regulations 2014, what minimum percentage of its assets must a Special Purpose Vehicle (SPV) hold directly in infrastructure projects?",Not less than ninety per cent,extractive,Easy
REG_059,REG,SEBI,"SEBI (Infrastructure Investment Trusts) Regulations, 2014","""institutional investor"" means â€” (i) a qualified institutional buyer; or (ii) a family trust or an intermediary registered with the Board, having a net worth of more than five hundred crore rupees, as per the latest audited financial statements.","Under SEBI (InvIT) Regulations 2014 (as currently in force), what minimum net worth must a family trust or a Board-registered intermediary have to qualify as an institutional investor?","More than five hundred crore rupees, as per the latest audited financial statements",extractive,Medium
REG_060,REG,SEBI,"SEBI (Infrastructure Investment Trusts) Regulations, 2014","who, apart from receiving director's remuneration, does not have any or has had no material pecuniary relationship with the InvIT, its Holdco and/or SPV, parties to the InvIT, its holding company, the subsidiary or associate or their promoters or directors, during the three immediately preceding financial years... the aggregate of which in relation to points (A) to (D) shall not exceed two percent of its gross turnover or total income or fifty lakh rupees or such higher amount as may be specified from time to time, whichever is lower.","Under SEBI (InvIT) Regulations 2014, what is the combined monetary cap on permissible pecuniary relationships with the InvIT for a person to qualify as an independent director of the investment manager?","Two per cent of its gross turnover or total income, or fifty lakh rupees, whichever is lower",extractive,Medium
REG_061,REG,SEBI,"SEBI (Infrastructure Investment Trusts) Regulations, 2014","The trustee shall review the transactions carried out between the investment manager and its associates and where the investment manager has advised that there may be a conflict of interest, shall obtain confirmation from a practising chartered accountant or valuer, as applicable, that such transaction is on arm's length basis.","Under SEBI (InvIT) Regulations 2014, when a conflict of interest is flagged in a transaction between the investment manager and its associates, from whom must the trustee obtain confirmation that the transaction is at arm's length?","A practising chartered accountant or valuer, as applicable",extractive,Medium
REG_062,REG,SEBI,"SEBI (Issue and Listing of Municipal Debt Securities) Regulations, 2015","The Board may specify changes or issue observations, if any, on the draft offer document within twenty one days from the later of the following dates: a) the date of receipt of the draft offer document under sub-regulation (1); or b) the date of receipt of satisfactory reply from the lead manager(s), where the Board has sought any clarification or additional information from them; or c) the date of receipt of clarification or information from any regulator or agency, where the Board has sought any clarification or information from such regulator or agency; or d) the date of receipt of a copy of in-principle approval letter issued by the stock exchange(s).","Under SEBI (Issue and Listing of Municipal Debt Securities) Regulations 2015, within how many days of the relevant trigger date may SEBI specify changes or issue observations on a draft offer document?",Twenty one days,extractive,Easy
REG_063,REG,SEBI,"SEBI (Issue and Listing of Municipal Debt Securities) Regulations, 2015",The draft offer document filed with the designated stock exchange shall be made public by posting the same on the website of the designated stock exchange for seeking public comments for a period of fifteen days from the date of filing the draft offer document with such exchange and shall be available for download in PDF / HTML formats.,"Under SEBI (Issue and Listing of Municipal Debt Securities) Regulations 2015, for how many days must the draft offer document be publicly available on the designated stock exchange's website for public comments?",Fifteen days,extractive,Easy
REG_064,REG,SEBI,"SEBI (Issue and Listing of Municipal Debt Securities) Regulations, 2015","Provided that where an issuer has filed a shelf offer document, not more than four public issuances shall be made through a single shelf offer document.","Under SEBI (Issue and Listing of Municipal Debt Securities) Regulations 2015, what is the maximum number of public issuances permitted under a single shelf offer document?",Not more than four,extractive,Easy
REG_065,REG,SEBI,"SEBI (Issue and Listing of Municipal Debt Securities) Regulations, 2015","the issuer has not defaulted in repayment of debt securities or loans obtained from banks or financial institutions, during the preceding three hundred and sixty five days.","Under SEBI (Issue and Listing of Municipal Debt Securities) Regulations 2015, for what preceding period must an issuer have a clean repayment track record on debt securities or bank/financial institution loans to remain eligible for issuance?",The preceding three hundred and sixty five days,extractive,Easy
REG_066,REG,SEBI,"SEBI (Investment Advisers) Regulations, 2013",These regulations shall come into force on the ninetieth day from the date of their publication in the Official Gazette.,"Under SEBI (Investment Advisers) Regulations 2013, on which day from the date of publication in the Official Gazette did the regulations come into force?",The ninetieth day,extractive,Easy
NUM_033,NUM,SEBI,"SEBI (Infrastructure Investment Trusts) Regulations, 2014","the aggregate of which in relation to points (A) to (D) shall not exceed two percent of its gross turnover or total income or fifty lakh rupees or such higher amount as may be specified from time to time, whichever is lower.","Under SEBI (InvIT) Regulations 2014, if an entity associated with the InvIT has a gross turnover of ten crore rupees, what is the maximum permissible pecuniary relationship an independent director candidate may have with it â€” applying the two per cent cap or the fifty lakh rupee cap?","Twenty lakh rupees (two per cent of ten crore rupees, being lower than fifty lakh rupees â€” the rule applies whichever is lower)",calculated,Medium
NUM_034,NUM,SEBI,"SEBI (Issue and Listing of Municipal Debt Securities) Regulations, 2015","""private placement"" means an offer or invitation made to two hundred or fewer identified persons... Provided that... any offer or invitation made to qualified institutional buyers shall not be considered while calculating the limit of two hundred persons.","Under SEBI (Issue and Listing of Municipal Debt Securities) Regulations 2015, if a municipal issuer makes a private placement offer to 170 non-QIB investors and 45 qualified institutional buyers simultaneously, does this exceed the private placement limit?","No. The 45 qualified institutional buyers are excluded from the calculation, so only 170 persons are counted, which is within the two hundred person limit",calculated,Medium
NUM_035,NUM,SEBI,"SEBI (Issue and Listing of Municipal Debt Securities) Regulations, 2015","Where the issuer desires to roll-over the municipal debt securities issued, it shall do so only upon passing of a special resolution to that effect and give twenty one days' notice of the proposed roll over to the holders of municipal debt securities: Provided that, if the holders of municipal debt securities do not provide consent for the proposed roll over within the notice period, the issuer shall redeem the municipal debt securities of such holders.","Under SEBI (Issue and Listing of Municipal Debt Securities) Regulations 2015, if a roll-over notice is dispatched to holders on 5 May 2025, what is the earliest date on which the roll-over can take effect (assuming all holders consent)?",26 May 2025 (after expiry of the twenty one days notice period from 5 May),calculated,Medium
NUM_036,NUM,SEBI,"SEBI (Infrastructure Investment Trusts) Regulations, 2014","""institutional investor"" means â€” (i) a qualified institutional buyer; or (ii) a family trust or an intermediary registered with the Board, having a net worth of more than five hundred crore rupees, as per the latest audited financial statements.","Under SEBI (InvIT) Regulations 2014, does a family trust with a net worth of four hundred and ninety nine crore rupees (as per latest audited financial statements) qualify as an institutional investor?",No. The threshold is more than five hundred crore rupees; four hundred and ninety nine crore rupees falls below this threshold,calculated,Easy
NUM_037,NUM,SEBI,"SEBI (Foreign Portfolio Investors) Regulations, 2019","Government and Government related investors such as central banks, sovereign wealth funds, international or multilateral organizations or agencies including entities controlled or at least 75% directly or indirectly owned by such Government and Government related investor(s).","Under SEBI (FPI) Regulations 2019, if a government-linked entity is 70% directly owned by a sovereign government, does it qualify as a Category I foreign portfolio investor on the basis of government ownership?",No. The minimum threshold for government ownership is at least seventy-five per cent; seventy per cent is below this threshold,calculated,Easy
NUM_038,NUM,SEBI,"SEBI (Infrastructure Investment Trusts) Regulations, 2014","is or has been an employee or proprietor or a partner, in any of the three financial years immediately preceding the financial year in which he/she is proposed to be appointed, of â€” any legal or a consulting firm that has or had any transaction with the InvIT, its Holdco and/or SPV, parties to the InvIT, its holding company, subsidiary or associate amounting to ten per cent or more of the gross turnover of such firm.","Under SEBI (InvIT) Regulations 2014, a consulting firm had transactions worth eight lakh rupees with the InvIT in FY2023, and its gross turnover for that year was ninety lakh rupees. Would a partner of that firm be disqualified from acting as an independent director of the investment manager for FY2026?","No. Eight lakh rupees out of ninety lakh rupees is approximately 8.9 per cent, which is below the ten per cent threshold; the disqualification criterion is not triggered",calculated,Medium
NUM_039,NUM,SEBI,"SEBI (Foreign Portfolio Investors) Regulations, 2019","The Board shall dispose of the application for grant of approval as soon as possible but not later than thirty days after receipt of application by the Board or, after all the information called for under regulation 12 has been furnished, whichever is later.","Under SEBI (FPI) Regulations 2019, if a designated depository participant application is received by SEBI on 1 March, additional information is called for on 10 March, and the applicant furnishes the information on 25 March, by what date must SEBI dispose of the application?","By 24 April (thirty days from 25 March, the date all required information was furnished, being the later of the two trigger dates)",calculated,Medium
NUM_040,NUM,SEBI,"SEBI (Issue and Listing of Municipal Debt Securities) Regulations, 2015","A trust deed for securing the issue of debentures shall be executed by the issuer in favour of the independent trustee or debenture trustee, as applicable, within three months of the closure of the issue.","Under the original SEBI (Issue and Listing of Debt Securities by Municipalities) Regulations 2015 (as in force before the 2019 Amendment), if the issue closed on 1 January 2018, what was the latest date by which the trust deed had to be executed?",By 1 April 2018 (three months from the closure of the issue on 1 January 2018),calculated,Easy
REG_095,REG,SEBI,"SEBI (Mutual Funds) Regulations, 1996",The eligibility criteria for registration of a mutual fund include: (c) the sponsor has contributed or contributes at least 40% to the net worth of the asset management company: Provided that any person who holds 40% or more of the net worth of an asset management company shall be deemed to be a sponsor and will be required to fulfill the eligibility criteria specified in these regulations.,"What is the minimum percentage of an AMC's net worth that a sponsor must contribute to be eligible for mutual fund registration under SEBI (Mutual Funds) Regulations, 1996?",At least 40 per cent,extractive,Easy
REG_096,REG,SEBI,"SEBI (Mutual Funds) Regulations, 1996","Appointment of an asset management company. 20. (1) The sponsor or, if so authorised by the trust deed, the trustee, shall appoint an asset management company, which has been approved by the Board under sub-regulation (2) of regulation 21. (2) The appointment of an asset management company can be terminated by majority of the trustees or by seventy-five per cent of the unitholders of the scheme. (3) Any change in the appointment of the asset management company shall be subject to prior approval of the Board and the unitholders.","Under SEBI (Mutual Funds) Regulations, 1996, who has the authority to terminate the appointment of an asset management company?",Majority of the trustees or by seventy-five per cent of the unitholders of the scheme,extractive,Easy
REG_097,REG,SEBI,"SEBI (Mutual Funds) Regulations, 1996","Eligibility criteria for appointment of asset management company. 21. (1) For grant of approval of the asset management company the applicant has to fulfill the following:— (d) the board of directors of such asset management company has at least fifty per cent directors, who are not associate of, or associated in any manner with, the sponsor or any of its subsidiaries or the trustees; (e) the Chairman of the asset management company is not a trustee of any mutual fund.","What minimum proportion of the board of directors of an AMC must comprise directors who are not associated with the sponsor, its subsidiaries, or the trustees?",At least fifty per cent,extractive,Easy
REG_098,REG,SEBI,"SEBI (Mutual Funds) Regulations, 1996","Eligibility criteria for appointment of asset management company. 21. (1) For grant of approval of the asset management company the applicant has to fulfill the following:— (d) the board of directors of such asset management company has at least fifty per cent directors, who are not associate of, or associated in any manner with, the sponsor or any of its subsidiaries or the trustees; (e) the Chairman of the asset management company is not a trustee of any mutual fund.","What restriction does SEBI (Mutual Funds) Regulations, 1996 impose on the Chairman of an asset management company?",The Chairman of the asset management company is not a trustee of any mutual fund,extractive,Easy
REG_099,REG,SEBI,"SEBI (Mutual Funds) Regulations, 1996",Disqualification from being appointed as trustees. 16. (5) Two-thirds of the trustees shall be independent persons and shall not be associated with the sponsors or be associated with them in any manner whatsoever. (6) In case a company is appointed as a trustee then its directors can act as trustees of any other trust provided that the object of the trust is not in conflict with the object of the mutual fund.,"What is the minimum proportion of independent persons required among the trustees of a mutual fund under SEBI (Mutual Funds) Regulations, 1996?",Two-thirds,extractive,Easy
REG_100,REG,SEBI,"SEBI (Mutual Funds) Regulations, 1996","Disqualification from being appointed as trustees. 16. (2) No person shall be eligible to be appointed as a trustee unless— (a) he is a person of ability, integrity and standing; and (b) has not been found guilty of moral turpitude; and (c) has not been convicted of any economic offence or violation of any securities laws; and (d) has furnished particulars as specified in Form C.","What three personal qualifications must every trustee of a mutual fund possess or satisfy under Regulation 16(2) of SEBI (Mutual Funds) Regulations, 1996?","Be a person of ability, integrity and standing; not have been found guilty of moral turpitude; and not have been convicted of any economic offence or violation of any securities laws",extractive,Medium
REG_101,REG,SEBI,"SEBI (Mutual Funds) Regulations, 1996","Disqualification from being appointed as trustees. 16. (3) No asset management company and no director (including independent director), officer or employee of an asset management company shall be eligible to be appointed as a trustee of any mutual fund.","Under SEBI (Mutual Funds) Regulations, 1996, are directors, officers or employees of an AMC eligible to be appointed as trustees of any mutual fund?","No. No asset management company and no director (including independent director), officer or employee of an asset management company shall be eligible to be appointed as a trustee of any mutual fund.",extractive,Easy
REG_102,REG,SEBI,"SEBI (Mutual Funds) Regulations, 1996","Payment of annual service fee. 12. A mutual fund shall pay before the 15th April each year a service fee as specified in the Second Schedule for every financial year from the year following the year of registration: Provided that the Board may, on being satisfied with the reasons for the delay permit the mutual fund to pay the service fee at any time before the expiry of two months from the commencement of the financial year to which such fee relates.","By what date must a mutual fund pay its annual service fee, and what is the maximum grace period SEBI may allow for a delayed payment?",Before the 15th April each year; the Board may allow payment up to two months from commencement of the financial year,extractive,Medium
REG_103,REG,SEBI,"SEBI (Mutual Funds) Regulations, 1996","Disqualification from being appointed as trustees. 16. (7) In case a company is appointed as the trustee of a mutual fund, the Chairperson of the board of directors of that trustee company shall be an independent director: Provided that a trustee company, already appointed as the trustee of a mutual fund shall comply with this sub-regulation within a period as may be specified by the Board from time to time.","What requirement applies to the Chairperson of a trustee company appointed as trustee of a mutual fund under SEBI (Mutual Funds) Regulations, 1996?",The Chairperson of the board of directors of the trustee company shall be an independent director,extractive,Easy
REG_104,REG,SEBI,"SEBI (Mutual Funds) Regulations, 1996","Norms for shareholding and governance in mutual funds. 7C. (4) In the event of the disassociation of the sponsor from the asset management company and the mutual fund, the board of directors of such asset management company shall have at least two third independent directors. (5) If the asset management company fails to fulfill the conditions specified under sub-clause (2) above, the dissociated sponsor or any new entity may become sponsor of the mutual fund subject to such conditions as may be specified by the Board from time to time.",What board composition requirement must an AMC meet after its sponsor disassociates from the mutual fund?,The board of directors shall have at least two third independent directors,extractive,Medium
REG_105,REG,SEBI,"SEBI (Mutual Funds) Regulations, 1996","Trust deed to be registered under the Registration Act. 14. A mutual fund shall be constituted in the form of a trust and the instrument of trust shall be in the form of a deed, duly registered under the provisions of the Indian Registration Act, 1908 (16 of 1908), executed by the sponsor in favour of the trustees named in such an instrument.","Under which Act must the trust deed of a mutual fund be registered, and who executes it in favour of whom?","The Indian Registration Act, 1908; executed by the sponsor in favour of the trustees named in such an instrument",extractive,Easy
REG_106,REG,SEBI,"SEBI (Mutual Funds) Regulations, 1996",Rights and obligations of the trustees. 18. (15) The trustees shall obtain the consent of the unitholders— (a) whenever required to do so by the Board in the interest of the unitholders; or (b) whenever required to do so on the requisition made by three-fourths of the unitholders of any scheme; or (c) when the majority of the trustees decide to wind up a scheme or prematurely redeem the units of a close ended scheme.,"What proportion of unitholders of a scheme may requisition the trustees to obtain unitholder consent under SEBI (Mutual Funds) Regulations, 1996?",Three-fourths of the unitholders of any scheme,extractive,Easy
REG_107,REG,RBI,"Reserve Bank of India (Small Finance Banks - Prudential Norms on Declaration of Dividend) Directions, 2026","B. Eligibility criteria. 7. A bank shall meet the following prudential requirements, to be eligible to declare dividends. (1) The bank was in compliance with the applicable regulatory capital requirement as at the end of the previous financial year and shall continue to be in compliance as at the end of the financial year during which the dividend is proposed to be paid. (2) The regulatory capital of the bank shall not fall below the applicable regulatory capital requirement even after the payment of dividend.",What capital compliance conditions must an SFB satisfy at the end of both the previous and the current financial year to be eligible to declare dividends?,The bank must be in compliance with the applicable regulatory capital requirement as at the end of the previous financial year and shall continue to be in compliance as at the end of the financial year during which the dividend is proposed to be paid; and the regulatory capital shall not fall below the applicable requirement even after payment of dividend.,extractive,Medium
REG_108,REG,RBI,"Reserve Bank of India (Small Finance Banks - Prudential Norms on Declaration of Dividend) Directions, 2026","B. Eligibility criteria. 7. A bank shall meet the following prudential requirements, to be eligible to declare dividends. (3) The bank shall have positive adjusted Profit After Tax (PAT) for the financial year for which the dividend is proposed. (4) The bank shall not be under any explicit restrictions for declaration of dividends from the Reserve Bank or any other authority.","What profitability condition must an SFB satisfy to be eligible to declare dividends under the RBI SFB Dividend Directions, 2026?",The bank shall have positive adjusted Profit After Tax (PAT) for the financial year for which the dividend is proposed,extractive,Easy
REG_109,REG,RBI,"Reserve Bank of India (Small Finance Banks - Prudential Norms on Declaration of Dividend) Directions, 2026","A. Board oversight. 6. The Board of Directors while considering the proposal for declaration of dividend of a bank shall consider the following: (1) The divergence in asset classification and provisioning for Non-Performing Assets (NPAs), including its trend, as observed under supervisory findings of the Reserve Bank; (2) Auditors' Report to the financial statements, including modified opinion or Emphasis of Matter, for the financial year in which the dividend is proposed; (3) Current and projected capital position vis-à-vis applicable regulatory capital requirement; and (4) Long term growth plans.",What four factors must an SFB's Board of Directors consider when evaluating a proposal for declaration of dividend?,Divergence in NPA asset classification and provisioning including its trend; Auditors' Report including modified opinion or Emphasis of Matter; Current and projected capital position vis-à-vis regulatory capital requirement; Long term growth plans,extractive,Medium
REG_110,REG,RBI,"Reserve Bank of India (Small Finance Banks - Prudential Norms on Declaration of Dividend) Directions, 2026",E. Reporting system. 11. A bank declaring dividend shall report details thereof as per the format prescribed in Annex II. The report shall be furnished to the Department of Supervision of the Reserve Bank within a fortnight of declaration of dividend.,Within what period must an SFB submit its dividend declaration report to the RBI's Department of Supervision?,Within a fortnight of declaration of dividend,extractive,Easy
